SARL_v60h4k6xm9,SARL_v63vmvzctf,SARL_v646shwf11,SARL_v65sf7npah,SARL_v67aa64utj,SARL_v68f0quk5p,SARL_v6a4ndkf8v,SARL_v6aj88rev9,SARL_v6evvdhzk7,SARL_v6f933l72m,SARL_v6ftpqxgnv,SARL_v6gnqw5ox5,SARL_v6j50z1e9w,SARL_v6k3hhcfwz,SARL_v6k5sw88ad,SARL_v6ktf02s20,SARL_v6kya2dxyh,SARL_v6lgpkenjy,SARL_v6n4gu2b5u,SARL_v6nat83vj0,SARL_v6ne1kg4lj,SARL_v6nw0j2uax,SARL_v6o7dfb9xv,SARL_v6ps9ech69,SARL_v6rt2s4yzx,SARL_v6tg11awsr,SARL_v6uxzaglpt,SARL_v6vxrt8tgj,SARL_v6xuywyznv,SARL_v6yyllsbjc
NaN,-0.5,0.5,-0.5,NaN,-0.5,0.5,-0.5,0.5,0.5,-0.5,0.5,0.5,0.5,NaN,0.5,-0.5,-0.5,0.5,0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.5,-0.5
NaN,0.511538484,-0.5,-0.252642286,-0.5,0.573755169,0.468733381,-0.49807335,-0.537711258,-0.832153591,-0.5,0.210697422,0.487850976,0.229079955,-0.5,-0.514059045,-0.492961288,0.5,-0.995659829,0.482245933,-0.522281729,-0.762242727,0.284375813,-0.5,0.5,0.503446014,-0.5,0.800655271,-0.5,-0.336712526
0.5,0.5,0.051613532,0.5,-0.342452314,0.48912035,-0.5,0.5,0.502844278,-0.279347984,-0.431357105,0.088786807,0.475997149,0.104955251,-0.437707426,0.500395313,-0.486021663,0.073954093,0.5,0.465122279,0.5,0.5,0.161739206,-0.480906875,-0.5176498,-0.50002375,0.878227145,0.5,-0.999999998,0.5
NaN,-0.500266273,0.005327913,-0.747357714,-0.234547174,0.416970042,0.439421965,0.503845876,0.464918497,-0.093775112,-0.431357105,0.037414303,0.464431348,0.048086289,-0.383175581,-0.5,0.5,0.010938416,0.004340171,0.448606654,0.477718271,-0.362457504,-0.908010563,0.537457155,0.500623031,0.503422427,-0.786111547,-0.680787184,-2.38E-09,0.336712526
7.71E-09,0.488461516,0.000549985,0.87234375,0.5,0.35546265,0.411943487,-0.498095593,0.429853174,-0.031479632,-0.372137904,0.015766194,0.453146572,-0.97796879,-0.335437594,0.486325153,0.520820269,0.001617881,-0.008642668,0.432677469,-0.499007049,0.237757273,-0.5,-0.483066318,-0.4823502,-0.500047174,-0.191454094,-0.271422673,-1.13E-17,0.226750651
-1,-0.488721645,5.68E-05,-0.377628323,0.342452314,0.303028234,0.386183327,-0.50192665,-0.5,-0.5,0.627862096,0.006643793,0.442135995,-0.5,-0.293647051,-0.485940955,0.492961288,-0.999760702,-0.999962326,0.417313899,0.456429494,-0.886942958,0.483567515,-0.464619827,-0.465323431,0.503399165,-0.121772855,-0.800655271,-5.38E-26,0.152699569
NaN,-0.522810694,5.86E-06,-0.559218161,0.234547174,0.258328437,0.362034033,-0.496176281,-0.602567434,-0.010567486,0.678951342,0.00279966,-0.568607047,0.551933907,0.74293701,0.472650619,0.513488462,-0.147872792,0.991319985,0.40249586,0.436089417,0.578245722,0.275029811,-0.446877739,-0.448897701,-0.5,-0.046627823,0.891786642,1,0.102831715
NaN,0.522556569,-0.999999395,-0.282564309,0.160642445,0.220222322,0.339394873,-0.494264365,0.442879718,-0.003547429,0.541665552,-0.998820238,0.445208995,0.252873989,-0.349621908,-0.472277224,0.486021663,-0.073954093,0.008604997,-0.611796017,0.416655765,-0.725035748,-0.843576348,-0.429813154,-0.433051792,-0.496553986,0.988643994,-0.644454067,-0.999999995,0.069249453
0.999999985,-0.489502452,-0.051613532,0.809190234,0.110024754,0.187737253,0.318171413,-0.492359816,0.409476615,0.998809153,-0.414259029,0.579102302,0.434391285,-0.884143276,-0.30606421,-0.540639413,-0.520820269,0.978128403,7.47E-05,-0.5,-0.601911856,0.655234955,0.52021458,0.519093125,0.582234763,-0.493131723,0.970342744,NaN,-4.76E-09,0.046634317
-0.5,-0.47820622,-0.005327913,-0.142775386,-0.160642445,0.160044067,0.298275124,0.500007424,0.378592858,-0.66470694,0.467302569,-0.755969276,-0.576163575,-0.405079003,-0.5,0.474562334,0.486511538,0.144673198,6.48E-07,-0.482245933,0.424911417,-0.172353816,0.295872889,-0.413400202,-0.438317891,-0.489733046,0.240780003,-0.256937043,-2.26E-17,0.031404717
1.54E-08,0.53282933,-0.103227002,-0.0721422,0.075356463,0.136435913,-0.720376985,-0.490462606,0.350038432,-0.223137346,0.403148566,-0.5,-0.562163925,0.81440904,-0.267933155,0.461218548,0.479662709,0.02139835,5.63E-09,0.409927719,0.405975896,0.311573752,-0.284375813,-0.397613998,0.482951238,-0.486357792,-0.763677188,0.680787184,-1.08E-25,0.021148723
2.22E-16,-0.479466756,-0.000549985,-0.591128658,0.05161199,NaN,0.32467052,0.511427294,0.323637652,-0.074905605,-0.357387151,-0.210697422,0.451495561,0.373129572,0.562292574,0.448249963,-0.527089706,0.989061584,4.89E-11,-0.465122279,0.387884206,0.148157851,0.168278187,-0.500729095,0.465903253,0.499929724,0.814009697,0.271422673,1,0.01424208
NaN,0.489254191,-0.01065582,0.963547659,0.035349291,0.116310205,0.304367821,-0.501919255,0.299228086,0.832153591,-0.652198003,0.911213193,0.4405251,-0.229079955,-0.234552663,0.435646031,-0.493740133,0.146290305,4.24E-13,-0.60462805,0.370598745,-0.929548787,-0.904291508,0.617569389,0.449457055,0.496484195,0.058640937,-0.10243809,-0.999999995,0.009590974
0.999999992,-0.468402117,-5.68E-05,-0.513134233,0.024210893,-0.900846753,0.285334716,0.500014791,0.276659551,0.279347984,0.437339515,-0.616019459,0.4298212,0.170953011,0.49223927,0.423396497,0.480330359,-0.978362466,3.66E-15,0.416841164,0.354083584,0.557986031,0.485682734,-0.40601327,-0.566408599,0.493062412,-0.801751431,-0.040840987,-4.76E-09,0.006458802
NaN,-0.522036312,-0.001099969,0.701311809,0.016582153,0.232037456,0.267491813,0.509456611,0.255793191,-0.025145274,0.377299014,-0.259587424,0.419377384,0.078323816,0.430913568,0.411491396,-0.486789544,-0.144707818,0,0.402039912,0.338304395,0.265330474,-0.723767155,-0.390509146,0.453585398,-0.483005801,-0.195263121,0.108213358,1,0.004349519
0,0.490010703,-5.86E-06,-0.259278812,-0.988642807,0.197809533,0.250764684,-0.492506479,0.236500625,0.093775112,-0.308322974,0.681438445,0.409187332,0.035884833,0.377228137,-0.600078956,0.473568545,0.003164991,0,0.387764224,0.323228382,-0.8738315,-0.411643747,0.624402934,0.437574015,-0.479676912,-0.985718252,0.983717129,-0.999999995,-0.997070925
0,0.478702742,-6.05E-07,0.354362037,0.322873967,0.168630582,-0.764916444,-0.490608703,0.218663152,NaN,-0.265994611,0.287154647,0.399244878,-0.983559008,0.330231113,0.416794118,0.46690192,-0.999531872,-1,-0.62600456,0.308824207,0.584480411,0.838260794,0.518391871,-0.577872173,-0.476370965,0.759932549,NaN,-4.76E-09,-0.226750651
0,NaN,-6.24E-08,0.179053671,-0.110024754,0.143755828,0.282916258,0.498088084,0.202171027,NaN,-0.22947733,0.121005488,0.389544007,-0.104955251,0.289089221,0.405074664,-0.479936801,0.852161054,0.999924979,0.396223694,0.295061933,0.277928937,0.47676219,0.49859643,0.442526484,-0.473087804,-0.047555495,0.043143525,0.999999995,0.32854746
NaN,0.467655734,0.999886453,-0.131009583,0.221137874,-0.877449643,-0.734775412,-0.488718241,0.186922779,0.031479632,-0.674498779,-0.949008911,0.380078848,0.549372694,0.253072997,0.393684738,0.460329144,0.126041596,-0.991320309,-0.61784547,-0.718087047,0.132159252,0.765876949,-0.399440672,-0.422845445,0.489664213,-0.011581937,-0.607802351,4.76E-09,-0.77874791
-0.999999985,0.456863658,0.103215343,-0.066197121,-0.848541647,0.25198325,-0.688827526,0.496168801,-0.827175407,0.010567486,0.418100319,-0.109388802,0.370843674,-0.748299456,0.22154386,0.382615075,0.453848896,0.018642584,0.991319658,0.40409307,0.313913395,0.062843647,-0.564406239,-0.520443098,0.426905476,-0.46982727,-0.002820731,0.75767561,0,0.475571648
0,0.44632063,0.010654617,-0.033448384,-0.075356463,0.214813116,-0.645752911,-0.505743086,0.235212244,0.003547429,0.360701086,-0.046095877,-0.638167104,-0.342840811,NaN,0.37185667,0.447459873,0.002757391,0.008604994,0.389744479,0.299924328,0.029883068,-0.728840729,-0.500569328,-0.588164116,0.533410793,0.185078312,-0.697922722,0,0.847300431
0,0.436020903,0.001099845,-0.016900953,NaN,0.183125961,0.394628109,0.496205693,0.217471945,0.001190847,-0.688818048,-0.019424565,-0.622660889,0.842924085,0.794669115,0.361400771,-0.473180527,NaN,7.47E-05,0.37590538,0.286558664,0.014209834,-0.321006967,0.518545538,0.59208083,-0.470265489,-0.000686977,0.721745568,0,0.320261862
-1.54E-08,-0.574041137,-0.999886466,-0.008539791,-0.05161199,-0.843887012,-0.630049264,0.494293664,-0.798930337,0.000399759,-0.197973354,0.600092538,0.392468556,0.386194023,-0.304334855,0.351238872,0.44116079,-0.021403471,6.48E-07,0.362557681,0.273788619,0.006756983,0.817426766,0.498744228,0.432597841,-0.467024407,0.045075029,0.017200869,-2.26E-17,-0.429406663
-1,0.439205992,-6.45E-09,-0.004315024,0.418829899,0.280595047,0.409349756,0.492389002,0.261327,0.000134196,0.405746882,0.252875901,0.382932336,0.176938619,0.193942785,NaN,0.434950383,-0.003165749,5.63E-09,0.349683934,0.261587651,0.003213044,0.464912803,0.479699057,-0.428819386,0.486289434,-0.98902217,0.287752349,0,0.215672361
-1.54E-08,-0.570929551,0.896784655,-0.002180315,NaN,0.239204376,0.383751791,0.490491679,0.24161706,4.50E-05,0.350043601,0.106560601,-0.5,0.081066181,0.169780395,-0.658637294,0.428827402,0.000407841,4.89E-11,0.337267309,0.249930401,-0.998472151,-0.41452935,0.461381149,0.417327311,-0.463805662,-0.00016731,-0.885276172,-1,-0.289173204
-2.38E-16,0.542407184,-0.907427553,-0.909526943,0.964650709,-0.796080742,0.359754549,0.513164937,-0.776606307,-0.999984877,-0.698012411,-0.955095912,0.373627827,-0.962858726,-0.851371721,-0.640117672,0.422790617,-0.999939677,-1,-0.674708424,-0.761207361,0.525211968,-0.735580087,0.443762733,-0.597404176,-0.517062086,0.759127894,0.647049723,-4.76E-09,-0.854760829
-3.66E-24,0.529890071,0.999999999,-0.459569932,-0.713141464,-0.678650603,-0.662742068,-0.511398332,-0.718032705,-0.335687742,-0.602185226,0.991814588,NaN,0.558856733,0.733580748,0.541002309,0.416838815,0.99953176,-0.008680342,-0.650750786,-0.72728533,-0.750254069,-0.235764242,-0.573182901,-0.576316048,-0.51349848,0.184882341,-0.993142195,-2.26E-17,0.424382644
1,-0.557754228,0.103227064,NaN,-0.488433889,-0.578542623,0.531266619,-0.509427761,-0.663876871,0.991558912,0.829205575,-0.582054446,-0.487850976,-0.74395425,0.254696551,-0.622118786,-0.589029202,0.14783893,-7.53E-05,-0.627643839,0.305125019,-0.356756723,0.581637629,-0.551295196,-0.555972322,0.5393909,0.999959252,0.604044677,-1.08E-25,-0.714210096
1.54E-08,-0.544882952,0.010655827,0.767786403,-0.33453063,0.5,-0.621298661,-0.507464783,0.537711258,0.332859206,-0.519513751,0.754725257,-0.6354506,-0.340850012,-0.777034856,NaN,0.533480635,0.021866588,0.991395,0.551393346,-0.708472407,0.918043254,-0.669192652,-0.5302433,-0.413682234,0.535673403,0.243535785,-0.759173755,1,0.519033029
-1,-0.532308705,0.00109997,-0.612049375,0.770878423,-0.493201605,-0.582446844,0.511187559,-0.613805606,NaN,-0.284632568,-0.402472493,0.524002851,0.843836189,-0.357812518,-0.474209642,0.525970602,0.003234247,-0.991394352,-0.605357377,-0.676900427,0.436542921,-0.38060441,-0.509995297,0.600920584,0.490040565,0.059312096,-0.302674573,-0.999999995,-0.650470155
1,-0.520024635,-0.999886453,0.690740893,-0.472021801,0.426244831,-0.546024557,NaN,0.497155722,0.111738445,-0.448191895,0.318037332,-0.62001039,0.951913711,-0.680227853,0.539124227,0.419262812,0.000478372,-6.54E-07,-0.583862266,-0.646735404,0.207582509,-0.216469377,-0.490520489,0.579708328,-0.513336808,-0.954972699,0.257971903,-4.76E-09,0.561957101
-0.999999985,-0.508024043,-0.093671083,-0.650979283,0.660693734,0.363369312,-0.511879874,0.5092178,0.459658986,NaN,0.613338483,0.134019292,0.395054652,0.386611912,-0.595481565,0.523965084,NaN,-0.999929245,0.991394358,-0.468185604,0.52323043,0.098708502,0.865908704,-0.471789352,-0.536346722,-0.509798877,0.014445206,-0.120673161,1,0.80526352
-1.54E-08,NaN,0.896784657,-0.328929789,0.452512196,0.309768582,-0.479870368,-0.492744369,-0.567510843,-0.112687964,-0.470864175,-0.169599833,0.511270604,0.177130079,-0.521293405,NaN,0.518566291,0.852102279,0.008605642,0.548438794,0.499913473,0.046937329,-0.507513016,0.546226514,-0.517413898,-0.506285329,0.003518068,0.102850678,-0.999999995,-0.621564009
NaN,0.503699611,0.092572448,-0.00110168,-0.323289916,-0.735925487,-0.501955203,0.509154323,-0.524707747,NaN,-0.406221215,0.056475039,-0.614544405,-0.918846099,-0.313234392,-0.490767813,0.511266214,0.126032903,-0.9999253,0.528964755,0.477635601,0.022319383,0.711351146,0.615812469,0.559244856,0.497204003,0.00085681,0.041005481,1,0.581423224
NaN,-0.482338185,0.009555982,-0.000556662,NaN,-0.420449269,-0.470566319,-0.505509369,-0.575009651,0.037509794,0.649547186,-0.071468495,0.400387825,-0.420978446,-0.456347989,-0.604625994,0.413360672,0.018641298,0.999999994,-0.489817797,-0.543649493,0.010613191,-0.12311731,-0.474631828,-0.499149394,0.531981527,-0.232579503,0.016348453,-4.76E-09,0.391544965
NaN,-0.507924248,0.000986436,0.999718727,0.309927697,0.641571345,-0.44986252,0.507192398,0.514867032,NaN,0.560373587,0.02379829,-0.609340818,-0.5638713,0.725789961,0.52303164,0.504068903,0.002757201,-0.991319658,-0.563130406,0.382085362,0.005046727,0.404582122,0.543492582,0.518470379,0.528315096,0.000208672,0.006517956,4.76E-09,0.542284628
-2.38E-16,-0.496202897,0.000101827,0.50514245,NaN,0.372631131,-0.441140283,0.505238034,-0.523965535,0.012591768,0.754443439,-0.030116455,-0.594535025,-0.192875447,0.635367311,0.412374934,NaN,0.000407813,-0.008604994,0.456865305,0.365058317,0.002399792,0.23010674,-0.477261362,0.539503737,-0.50622274,5.08E-05,0.00259864,0,-0.634811946
NaN,0.528792717,-0.999989489,0.255240687,0.212270914,0.317664187,0.586445647,0.5032912,0.468359024,NaN,0.483442256,0.010028477,-0.580088985,-0.088367797,0.55620998,-0.599220261,-0.592458382,-0.999939681,-7.47E-05,-0.47242528,0.348790056,0.001141136,0.130873583,-0.45903654,0.520459471,-0.502733839,-0.999987623,0.00103605,0,-0.736323811
-3.66E-24,0.516589785,0.896774021,-0.871030819,-0.854614669,0.270805435,0.549773302,0.501351868,-0.484446736,0.004226966,-0.582927496,0.004225948,-0.565993954,0.741656776,-0.399493807,NaN,-0.584118094,0.852100735,0.991320306,0.44064287,-0.666753234,0.000542627,0.074434563,-0.4077031,0.50208746,-0.499268984,-0.05664374,0.000413062,0,-0.495858901
NaN,0.515247962,0.09257135,0.559881565,0.414670459,-0.453067061,0.515394197,0.499420009,-0.447908544,0.001418962,-0.502899834,0.001780793,-0.552241406,0.339797402,0.486914477,0.417628668,-0.575895216,-0.873967326,-0.991395,0.54434966,-0.637040405,0.000258027,0.042334779,-0.441507656,-0.499831417,0.524673934,0.756457305,NaN,0,-0.333923807
NaN,-0.496642399,-0.990444131,0.282899517,NaN,0.230858834,0.483164929,0.497495593,-0.566965793,0.000476335,0.650869075,0.000750417,0.498847726,0.155681547,-0.573747836,-0.594114253,-0.567788095,0.870733078,0.999999352,0.424996463,NaN,0.000122696,0.024077974,-0.424648135,-0.482187568,0.504171992,0.184231931,0.000164684,0,0.572501732
-1.54E-08,0.504668459,-0.009669391,0.142944762,0.284009716,0.196804769,-0.42173116,0.495578594,0.475796194,-0.999840098,0.561514,0.000316222,0.4867267,0.071327043,0.497732624,-0.577408895,0.440204898,0.12878855,-0.991319663,-0.590094368,0.480577408,5.83E-05,0.013694387,-0.408432415,-0.46516654,-0.499302775,-0.955131104,-0.999934342,0,-0.224872657
-5.65E-32,0.493022241,0.999001857,0.072227783,0.194519569,-0.832225969,0.452951062,0.49366898,0.439910448,0.664360859,0.484426107,0.000133254,-0.538823018,0.032679192,NaN,-0.56117326,-0.565992053,NaN,-0.008604994,NaN,0.459161217,2.77E-05,0.007788705,0.607164087,-0.448746348,-0.495861567,-0.232618082,0.601336719,-2.26E-17,0.385537009
NaN,NaN,-0.896875971,-0.963504416,-0.221422759,0.290535965,0.424626566,0.491766726,0.406731295,0.223021169,0.417921286,-0.012690919,0.474900191,0.014972296,0.435722531,-0.54539414,-0.558024343,-0.147899264,-7.47E-05,-0.569141218,0.438699406,1.32E-05,0.004429839,0.607865553,0.484363974,0.521057867,-0.01379534,0.239746611,-1,-0.740369719
-8.71E-40,-0.518355217,-0.092581874,-0.166203148,NaN,-0.386234986,0.398073292,0.489871801,0.376054597,-0.925133395,-0.433858833,5.62E-05,0.463361044,-0.993140294,-0.349722811,-0.530058699,-0.550168798,0.019048881,0.991394352,-0.548932075,-0.608651682,-0.999993727,0.002519478,-0.416021232,0.567094218,0.507555924,0.943346864,NaN,-1.08E-25,0.501416483
-1.34E-47,0.49360685,0.89775936,0.513156083,-0.151653472,0.247678907,-0.395358945,0.487984178,0.585873846,0.689439363,0.360546632,2.37E-05,0.452102275,0.544982932,NaN,NaN,-0.542423839,0.978124488,0.008605642,-0.529440521,-0.581528059,-0.169643011,0.001432957,-0.400134942,0.54707602,0.504057835,0.229748081,NaN,-4.76E-09,-0.662333579
1,0.4822159,0.092673063,-0.740710148,-0.103868165,0.211143707,0.37318048,0.496438511,0.347691613,0.231439843,0.311048703,9.97E-06,0.441117072,0.249689331,-0.306152543,-0.515154461,-0.534787908,0.144672619,7.47E-05,-0.510641075,-0.555613158,0.524488437,0.000814997,-0.384855289,-0.472235545,-0.499416145,-0.944045841,0.095584446,1,0.553967975
-2.07E-55,-0.485181398,0.009566368,-0.083979886,0.133227353,-0.820002172,0.349844296,-0.505474416,0.321467836,-0.922307307,0.268346136,4.20E-06,0.430398788,0.114397641,0.381437974,-0.500669302,0.496972912,-0.978601735,6.48E-07,0.525020819,0.419149444,-0.080667719,0.000463531,-0.370159109,-0.455565819,-0.495974156,-0.003359796,0.038108511,-0.999999995,0.373055913
1.54E-08,-0.473984883,0.000987508,0.62573059,NaN,0.300956625,-0.6720326,-0.503526671,0.297221923,NaN,-0.37429618,1.77E-06,0.419940937,0.052412413,0.333916468,-0.486591437,-0.527259473,-0.144743208,5.63E-09,-0.492509163,0.400470695,0.249401881,0.000263634,0.643975879,0.560515472,-0.482533278,0.770081686,-0.048111117,-4.76E-09,-0.748774802
